tag_code_or_release_id,tag_type,species,run,brood_year,first_release_date,last_release_date,release_location_code,hatchery_location_code,stock_location_code,release_stage,rearing_type,study_type,release_strategy,avg_weight,avg_length,study_integrity,cwt_1st_mark,cwt_1st_mark_count,cwt_2nd_mark,cwt_2nd_mark_count,non_cwt_1st_mark,non_cwt_1st_mark_count,non_cwt_2nd_mark,non_cwt_2nd_mark_count,counting_method,tag_loss_rate,tag_loss_days,tag_loss_sample_size,tag_reused,comments,release_location_name,hatchery_location_name,stock_location_name,record_origin,tagged_adclipped,tagged_unclipped,untagged_adclipped,untagged_unclipped,untagged_unknown
"180850","0","1","1","1991","19930430","19930504","2FS  TOMMR1387","2FS  TOMMH0160","2FS  TOMMS1387","Y","H","B",,"18.5","130","N","5000","71767",,,"0000","5073","5000","1465","W","0.02","283","2000",,"TIME OF RELEASE-YEARLING","R-Coldwater R","H-Spius Creek H","S-Coldwater R","N","71767","0","1465","5073","0"
"180851","0","1","1","1991","19930423","19930428","2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P",,"17","114","N","5000","74489",,,"0000","139886","5000","374","W","0.005","278","2000",,"TIME OF RELEASE-YEARLING","R-Nicola R","H-Spius Creek H","S-Nicola R","N","74489","0","374","139886","0"
"181915","0","1","1","2003","20050429","20050502","2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P",,"16","112","N","5000","22223",,,"0000","19988","5000","293","W","0.013","30","300",,"SEE ALSO 181916, 181917 & 184050-51.","R-Nicola R","H-Spius Creek H","S-Nicola R","N","22223","0","293","19988","0"
"181754","0","1","1","1992","19940506","19940509","2FS  TOMMR1387","2FS  TOMMH0160","2FS  TOMMS1387","Y","H","B",,"18.8",,"N","5000","22547",,,"0000","666",,,"C",,"1","500",,"MARK.FUNDED BY NWSFA. REL'D COLD.POND LATE APR/MAY. WT IS AVG OF OTHER YEARS.","R-Coldwater R","H-Spius Creek H","S-Coldwater R","N","22547","0","0","666","0"
"182128","0","1","1","1998","20000425","20000426","2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P",,"20.24","120","N","5000","21340",,,"0000","13191","5000","435","W","0.02","30","300",,"EXTENDED REARING. SEE ALSO 182129.","R-Nicola R","H-Spius Creek H","S-Nicola R","N","21340","0","435","13191","0"
"!03NOCN09108",,"1","1","2009","20110418","20110421","2FS  TOMMR0160","2FS  TOMMH0160","2FS  TOMMS0160","Y","H","P","FR","28.21","131","N",,,,,"0000","66192",,,"B",,,,,,"R-Spius Cr","H-Spius Creek H","S-Spius Cr","N","0","0","0","66192","0"
"181091","12","1","1","2010","20120419","20120424","2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","FR","14.3","107","N","5000","26273",,,"5000","444","0000","361","B","0.0166",,,,"BKD was present in this release group","R-Nicola R","H-Spius Creek H","S-Nicola R","N","26273","0","444","361","0"
"181227","0","1","1","1992","19940503","19940506","2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P",,"19.2","117","W","5000","47150",,,"0000","179161","5000","476","W","0.01","1","2000",,"YEARLINGS.BKD. 5075 MARKS & 19782 UNMARKS REL'D SPAHOMIN POND-AFS FUNDED.","R-Nicola R","H-Spius Creek H","S-Nicola R","N","47150","0","476","179161","0"
"!03NOCN0852",,"1","1","2008","20090504","20090506","2FS  TOMMR1387","2FS  TOMMH0160","2FS  TOMMS1387","F","H","B",,"1.65","51","N",,,,,"0000","47449",,,"B",,,,,"48,208 ON HAND FOR 2010 SMOLT 1+ RELEASE.","R-Coldwater R","H-Spius Creek H","S-Coldwater R","N","0","0","0","47449","0"
"!03NOCN0853",,"1","1","2008","20090526","20090526","2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","F","H","B",,"1.61","51","N",,,,,"0000","54595",,,"B",,,,,"137,605 ON HAND FOR 2010 SMOLT 1+ RELEASE.","R-Nicola R","H-Spius Creek H","S-Nicola R","N","0","0","0","54595","0"
