"","tag_code_or_release_id","tag_type","species","run","brood_year","first_release_date","last_release_date","release_location_code","hatchery_location_code","stock_location_code","release_stage","rearing_type","study_type","release_strategy","avg_weight","avg_length","study_integrity","cwt_1st_mark","cwt_1st_mark_count","cwt_2nd_mark","cwt_2nd_mark_count","non_cwt_1st_mark","non_cwt_1st_mark_count","non_cwt_2nd_mark","non_cwt_2nd_mark_count","counting_method","tag_loss_rate","tag_loss_days","tag_loss_sample_size","tag_reused","comments","release_location_name","hatchery_location_name","stock_location_name","record_origin","tagged_adclipped","tagged_unclipped","untagged_adclipped","untagged_unclipped","untagged_unknown"
"126","025201",0,1,1,1987,1988-04-05,1988-05-02,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","S","H","P","",5.4,67,"N",5000,25738,NA,NA,0,76549,5000,103,"W",0.004,1,NA,NA,"TIME OF RELEASE-NORMAL SPRING","R-Nicola R","H-Spius Creek H","S-Nicola R","N",25738,0,103,76549,0
"128","181583",12,1,1,2009,2011-04-26,2011-04-27,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","FR",18.27,116,"N",5000,53677,NA,NA,0,8257,5000,817,"B",0.012,30,324,NA,"","R-Nicola R","H-Spius Creek H","S-Nicola R","N",53677,0,817,8257,0
"129","184722",12,1,1,2000,2002-04-15,2002-04-17,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","",14.35,108,"N",5000,24132,NA,NA,0,26581,5000,171,"B",0.007,30,300,NA,"SEE ALSO 184723 & 24. SCATTER RELEASED FROM DAM TO SUNSHINE VALLEY RD EAST.","R-Nicola R","H-Spius Creek H","S-Nicola R","N",24132,0,171,26581,0
"130","180189",12,1,1,2007,2009-04-23,2009-04-27,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","",17.82,115,"N",5000,40260,NA,NA,5000,407,0,182,"B",0.01,30,300,NA,"ALSO SEE TAGCODES 180183 & 180184","R-Nicola R","H-Spius Creek H","S-Nicola R","N",40260,0,407,182,0
"131","185236",12,1,1,2005,2007-04-24,2007-04-25,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","",16.69,112,"N",5000,26102,NA,NA,5000,1130,NA,NA,"",0.0415,30,313,NA,"RELEASE SITES: NICOLA RANCH, RIVER RANCH, NORGARDS","R-Nicola R","H-Spius Creek H","S-Nicola R","N",26102,0,1130,0,0
"132","185936",12,1,1,2006,2008-04-23,2008-04-25,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","",14.03,107,"N",5000,44845,NA,NA,0,2230,5000,1245,"B",0.027,30,300,NA,"ALSO SEE TAGCODES 185935 & 185926.","R-Nicola R","H-Spius Creek H","S-Nicola R","N",44845,0,1245,2230,0
"135","!03NOCN05124",NA,1,1,2005,2006-06-20,2006-06-20,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","F","H","B","",2.35,59,"N",NA,NA,NA,NA,0,30000,NA,NA,"W",NA,NA,NA,NA,"RELEASED DOWNSTREAM OF SPIUS CR CONFLUENCE AT 11 SITES.","R-Nicola R","H-Spius Creek H","S-Nicola R","N",0,0,0,30000,0
"136","020739",0,1,1,1989,1991-04-08,1991-04-11,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","B","",19,117,"N",5000,23968,NA,NA,0,33570,5000,21,"W",9e-04,105,1055,NA,"TIME OF RELEASE: NORMAL 1+ SM. SEE ALSO 020738","R-Nicola R","H-Spius Creek H","S-Nicola R","N",23968,0,21,33570,0
"137","020740",0,1,1,1989,1991-03-07,1991-03-13,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","B","",18.5,116,"N",5000,25138,NA,NA,0,21526,NA,NA,"W",NA,105,1000,NA,"TIME OF RELEASE:1+ SM RELEASE 1 MONTH EARLIER THAN NORMAL. SEE ALSO 020741","R-Nicola R","H-Spius Creek H","S-Nicola R","N",25138,0,0,21526,0
"138","020741",0,1,1,1989,1991-03-07,1991-03-13,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","B","",18.5,116,"N",5000,25204,NA,NA,0,21582,NA,NA,"W",NA,105,1000,NA,"TIME OF RELEASE:1+ SM RELEASE 1 MONTH EARLIER THAN NORMAL. SEE ALSO 020740","R-Nicola R","H-Spius Creek H","S-Nicola R","N",25204,0,0,21582,0
